county,Vehicle Count
Anderson County,294
Andrews County,148
Angelina County,602
Aransas County,305
Archer County,429
Atascosa County,386
Austin County,404
Bandera County,454
Bastrop County,3141
Bee County,180
Bell County,8022
Bexar County,85057
Blanco County,305
Borden County,11
Bosque County,122
Bowie County,730
Brazoria County,18841
Brazos County,5420
Brewster County,92
Brooks County,5
Brown County,106
Burleson County,110
Burnet County,1000
Caldwell County,2063
Calhoun County,170
Callahan County,72
Cameron County,7443
Camp County,40
Carson County,68
Cass County,141
Castro County,20
Chambers County,1080
Cherokee County,621
Childress County,11
Clay County,141
Collin County,183347
Collingsworth County,3
Colorado County,274
Comal County,8195
Comanche County,35
Cooke County,460
Coryell County,960
Crockett County,17
Crosby County,10
Culberson County,26
Dallam County,67
Dallas County,169987
Dawson County,19
DeWitt County,130
Deaf Smith County,85
Delta County,31
Denton County,103402
Dimmit County,1
Donley County,22
Duval County,29
Eastland County,77
Ector County,691
Edwards County,22
El Paso County,19443
Ellis County,6096
Erath County,263
Falls County,74
Fannin County,299
Fayette County,208
Floyd County,46
Foard County,10
Fort Bend County,91861
Franklin County,79
Freestone County,144
Frio County,109
Gaines County,93
Galveston County,12321
Gillespie County,797
Goliad County,19
Gonzales County,132
Gray County,118
Grayson County,2925
Gregg County,1847
Grimes County,360
Guadalupe County,6962
Hale County,130
Hall County,8
Hamilton County,123
Hansford County,12
Hardin County,464
Harris County,214546
Harrison County,772
Haskell County,19
Hays County,17205
Hemphill County,12
Henderson County,621
Hidalgo County,12993
Hill County,335
Hockley County,628
Hood County,1519
Hopkins County,434
Houston County,103
Howard County,157
Hunt County,1149
Hutchinson County,66
Jack County,23
Jackson County,52
Jasper County,136
Jeff Davis County,30
Jefferson County,2858
Jim Hogg County,13
Jim Wells County,177
Johnson County,4515
Jones County,161
Karnes County,58
Kaufman County,5215
Kendall County,7348
Kerr County,632
Kimble County,36
King County,9
Kinney County,8
Kleberg County,1244
Knox County,2
La Salle County,11
Lamar County,397
Lamb County,39
Lampasas County,281
Lavaca County,61
Lee County,144
Leon County,132
Liberty County,590
Limestone County,45
Lipscomb County,12
Live Oak County,89
Llano County,794
Lubbock County,3676
Lynn County,34
Madison County,50
Marion County,48
Martin County,532
Mason County,37
Matagorda County,145
Maverick County,357
McCulloch County,41
McLennan County,4681
Medina County,838
Midland County,1764
Milam County,142
Mills County,31
Montague County,139
Montgomery County,35027
Moore County,40
Morris County,71
Nacogdoches County,555
Navarro County,448
Newton County,25
Nolan County,27
Nueces County,4577
Ochiltree County,26
Orange County,624
Palo Pinto County,174
Panola County,79
Parker County,5456
Pecos County,33
Polk County,239
Potter County,936
Presidio County,41
Rains County,156
Randall County,2530
Real County,21
Red River County,27
Reeves County,59
Refugio County,14
Robertson County,95
Rockwall County,7819
Runnels County,8
Rusk County,227
Sabine County,17
San Augustine County,13
San Jacinto County,329
San Patricio County,530
San Saba County,21
Schleicher County,21
Scurry County,152
Shackelford County,22
Shelby County,68
Sherman County,26
Smith County,3808
Somervell County,131
Starr County,214
Stephens County,17
Tarrant County,100259
Taylor County,1546
Terry County,39
Throckmorton County,9
Titus County,198
Tom Green County,1014
Travis County,201147
Trinity County,35
Tyler County,37
Upshur County,164
Uvalde County,133
Val Verde County,353
Van Zandt County,607
Victoria County,1007
Walker County,457
Waller County,1245
Ward County,60
Washington County,563
Webb County,2547
Wharton County,292
Wheeler County,18
Wichita County,1034
Wilbarger County,27
Willacy County,49
Williamson County,68502
Wilson County,582
Winkler County,19
Wise County,827
Wood County,460
Young County,150
Zapata County,41
Zavala County,3
