county,Vehicle Count
Anderson County,710
Andrews County,333
Angelina County,1312
Aransas County,734
Archer County,988
Armstrong County,4
Atascosa County,923
Austin County,821
Bailey County,35
Bandera County,897
Bastrop County,6210
Baylor County,33
Bee County,374
Bell County,16651
Bexar County,156490
Blanco County,724
Borden County,20
Bosque County,439
Bowie County,1681
Brazoria County,29967
Brazos County,10958
Brewster County,197
Briscoe County,17
Brooks County,43
Brown County,392
Burleson County,260
Burnet County,2325
Caldwell County,3755
Calhoun County,308
Callahan County,246
Cameron County,12217
Camp County,171
Carson County,142
Cass County,485
Castro County,101
Chambers County,1746
Cherokee County,1297
Childress County,45
Clay County,223
Cochran County,2
Coke County,21
Coleman County,50
Collin County,268898
Collingsworth County,15
Colorado County,573
Comal County,14387
Comanche County,168
Concho County,62
Cooke County,1112
Coryell County,2469
Crockett County,44
Crosby County,44
Culberson County,143
Dallam County,156
Dallas County,280280
Dawson County,101
DeWitt County,292
Deaf Smith County,229
Delta County,133
Denton County,173321
Dickens County,22
Dimmit County,25
Donley County,27
Duval County,77
Eastland County,222
Ector County,1695
Edwards County,46
El Paso County,40001
Ellis County,11319
Erath County,834
Falls County,176
Fannin County,706
Fayette County,479
Fisher County,11
Floyd County,92
Foard County,65
Fort Bend County,129216
Franklin County,196
Freestone County,321
Frio County,170
Gaines County,287
Galveston County,23905
Garza County,29
Gillespie County,1683
Goliad County,40
Gonzales County,306
Gray County,211
Grayson County,5952
Gregg County,3838
Grimes County,789
Guadalupe County,13269
Hale County,423
Hall County,17
Hamilton County,227
Hansford County,35
Hardeman County,28
Hardin County,1054
Harris County,369042
Harrison County,1460
Haskell County,64
Hays County,32565
Hemphill County,41
Henderson County,1623
Hidalgo County,24447
Hill County,868
Hockley County,1346
Hood County,3488
Hopkins County,837
Houston County,205
Howard County,505
Hudspeth County,16
Hunt County,2421
Hutchinson County,181
Irion County,8
Jack County,85
Jackson County,88
Jasper County,350
Jeff Davis County,94
Jefferson County,5182
Jim Hogg County,13
Jim Wells County,393
Johnson County,8576
Jones County,566
Karnes County,188
Kaufman County,10004
Kendall County,11487
Kerr County,1992
Kimble County,77
King County,9
Kinney County,43
Kleberg County,2273
Knox County,21
La Salle County,43
Lamar County,956
Lamb County,124
Lampasas County,685
Lavaca County,261
Lee County,326
Leon County,252
Liberty County,1151
Limestone County,258
Lipscomb County,30
Live Oak County,166
Llano County,1521
Loving County,8
Lubbock County,8122
Lynn County,129
Madison County,176
Marion County,159
Martin County,1114
Mason County,81
Matagorda County,453
Maverick County,727
McCulloch County,56
McLennan County,9407
Medina County,1832
Menard County,15
Midland County,3910
Milam County,502
Mills County,109
Mitchell County,20
Montague County,375
Montgomery County,59473
Moore County,141
Morris County,143
Nacogdoches County,1150
Navarro County,933
Newton County,50
Nolan County,128
Nueces County,9293
Ochiltree County,75
Oldham County,20
Orange County,1214
Palo Pinto County,503
Panola County,246
Parker County,10418
Parmer County,41
Pecos County,127
Polk County,607
Potter County,2009
Presidio County,92
Rains County,298
Randall County,5261
Real County,55
Red River County,87
Reeves County,194
Refugio County,51
Roberts County,9
Robertson County,208
Rockwall County,13514
Runnels County,101
Rusk County,687
Sabine County,39
San Augustine County,63
San Jacinto County,750
San Patricio County,1245
San Saba County,75
Schleicher County,45
Scurry County,207
Shackelford County,28
Shelby County,200
Sherman County,76
Smith County,7288
Somervell County,292
Starr County,486
Stephens County,38
Sterling County,14
Stonewall County,14
Sutton County,28
Swisher County,77
Tarrant County,173360
Taylor County,3697
Terry County,105
Throckmorton County,18
Titus County,441
Tom Green County,2807
Travis County,352348
Trinity County,179
Tyler County,166
Upshur County,428
Upton County,19
Uvalde County,262
Val Verde County,970
Van Zandt County,1560
Victoria County,1791
Walker County,1091
Waller County,2327
Ward County,117
Washington County,1154
Webb County,4765
Wharton County,637
Wheeler County,55
Wichita County,2338
Wilbarger County,131
Willacy County,214
Williamson County,111146
Wilson County,1511
Winkler County,28
Wise County,2099
Wood County,941
Young County,347
Zapata County,94
Zavala County,33
